X,Y,fid,OBJECTID,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,NO,F_POINT,ELEV,ELE,ELPBG,DOM,CH1,DIA,A,B,PT,STAMAN,STAPRE,POINT,DESC,PLU,POINT_HEXAG,ECHELLE,VUEPL,EL_,F0_000,CURVENO,RADIUS,LENGTH,DELTA,TANGENT,CHORD,BEARING,X,IDENTIFICATION,S_,TXT1,SS,VALEURX,VALEUR_Y,TEXTE,A1,NIVEAU,Item_Short_Name,Item_Description,Manufacturer,Part_Number,Quantity_Imperial,Unit_Imperial,Quantity_Metric,Unit_Metric,ID_CSI_Masterformat,ID_CSI_Uniformat,ID_CI_SfB,ID_UniClass,ID_User_Defined,NAME,PLUVIAL,SANITIRE,EAU_POTABLE,COD,DSC,INF,F1,F2,icon_url
-71.7371378833335,46.6791267729186,35,57,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,213.670314489975,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7370391190225,46.6790549666304,36,58,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,44.7570963455453,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7361676525207,46.6796265196545,37,59,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,236.999721883172,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7362497909173,46.6797084436883,38,60,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,225.724305514589,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7348172010869,46.6806342881796,39,61,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,208.507388660688,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7345925578287,46.6806041398173,40,62,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,225.300878927416,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7345616960603,46.6807645750923,41,63,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,207.391445086148,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7341120630523,46.6809577264705,42,64,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,213.281284913434,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7339097715004,46.6808956031553,43,65,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,205.815461513626,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7338278131538,46.6810596138047,44,66,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,203.271711637259,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.732965713007,46.681301977156,45,67,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,195.086321236508,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7325770334187,46.6813686349129,46,68,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,190.996428615217,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7326768645672,46.6813597919244,47,69,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,165.443880598974,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7315483252127,46.6814793247734,48,70,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,174.245445882959,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7315456159228,46.6813601053986,49,71,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,188.191768803551,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7307308510238,46.6814660378192,50,72,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,180.590270329803,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7307329836736,46.6813478704902,51,73,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,179.923831017993,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7300861215295,46.6814243882768,52,74,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,163.656679567348,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7300452422683,46.6813047089044,53,75,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,199.075168607981,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7360781387504,46.6809402797403,54,94,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,129.575594828408,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.736199613607,46.6808818885566,55,95,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,313.550982591863,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7354336374378,46.6804238602829,56,96,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,131.516088818275,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7355463143281,46.6803614396035,57,97,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,130.069494739289,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7349870866823,46.6808806708927,58,98,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,309.326104342597,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7347816843918,46.6808595006878,59,99,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,309.420155719677,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7352424750751,46.6812243422294,60,100,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,309.794571384188,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7353730944875,46.6811842135899,61,101,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,310.255665450025,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7359171341659,46.6816462158403,62,102,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,301.903218653811,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7358236007276,46.6817206824978,63,103,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,302.950373490695,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7359947103476,46.6821506898067,64,104,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,253.949597523252,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7361476117655,46.6821390173147,65,105,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,266.383532042821,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7353655044923,46.6822411393979,66,106,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,174.293412473447,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7353541286991,46.6823349862267,67,107,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,176.822418963792,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7344656118625,46.6821912095838,68,108,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,175.528261177168,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7344452000521,46.6822839919622,69,109,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,176.552524971427,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7333091824173,46.6817067884339,70,110,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,309.371210363883,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7331479752101,46.6817247922034,71,111,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,309.113045081594,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7329125216384,46.6813752835878,72,112,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,302.553103820756,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7341177852541,46.6810913099309,73,113,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,299.197587266731,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7339898227319,46.6811347482417,74,114,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,296.581083975387,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7342812299309,46.681487157613,75,115,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,300.15841971122,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7344076353915,46.6814336784821,76,116,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,300.69491445518,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7347459106768,46.6816446677557,77,117,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7347710221706,46.6818082803352,78,118,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,0,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7365439378416,46.6789129884491,79,119,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,314.206876219103,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7366163982656,46.6788565610046,80,120,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,313.850690739009,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7360576146732,46.6785602821746,81,121,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,140.94084586816,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7360788962048,46.678469173343,82,122,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,309.041572905348,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7360905033231,46.6787262638651,83,123,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,222.828062838782,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7361891087718,46.6787969133925,84,124,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,44.977635306476,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7296423857481,46.6806970901102,85,125,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,72.3023785394939,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7297691878928,46.6803016278877,86,126,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,233.111456056945,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7300506379053,46.6802800150232,87,127,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,51.5806371457853,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.730683862442,46.6796486918654,88,128,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,184.491203633645,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.730934517915,46.6796724654235,89,129,Insert,EGPLUV-PUISARD,3,Continuous,0,18,PU,48.8988694110258,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
